ENOCIA;83832944900022;838329449;62.02A;;;59005
UP CONNECT;91074863100017;910748631;62.02A;;;83116
;91017183400013;910171834;62.02A;;;13203
;91012651500014;910126515;62.02A;;;13215
;91009890400014;910098904;62.02A;;;59350
;91001802700011;910018027;62.02A;;;77284
;90995830800019;909958308;62.02A;;;95127
;90991080400014;909910804;62.02A;;;13014
;90990837800013;909908378;62.02A;;;93001
;90919820200014;909198202;62.02A;;;75120
;90490450500016;904904505;62.02A;;;59152
INTERNATIONAL COACHING SERVICES;88774575000018;887745750;62.02A;;;75108
SP CONSULTING INFORMATIQUE;88126700900010;881267009;62.02A;;;89024
MEILI;84415636400029;844156364;62.02A;;;75103
U-NEED EST;84092911100010;840929111;62.02A;2019;02;31561
SKILLS TREE CONSULTING;83969222500015;839692225;62.02A;;;95063
F.M.Z. DATA CONSULTING;83904046600014;839040466;62.02A;2019;01;95268
SQYIT;83798929200029;837989292;62.02A;;;75108
MBSECURITY;83471316600017;834713166;62.02A;;;95127
;83409967300016;834099673;62.02A;;;93007
HBH CONSULTING;83212940700017;832129407;62.02A;;;78586
RAFF ADVISORY;82186882500026;821868825;62.02A;;;75101
BJH CONSULTING;82118068400010;821180684;62.02A;2019;01;92007
RBEP CONSULTING;75382102400019;753821024;62.02A;2019;11;92040
;51525773100049;515257731;62.02A;;;34301
;51125710700041;511257107;62.02A;;;69387
NEXESS;49973221200034;499732212;62.02A;2019;12;06085
EURL JULIEN VARLET;49806789100016;498067891;62.02A;;;75112
UTSIT;44155972100044;441559721;62.02A;2019;11;75102
;39410751000023;394107510;62.02A;;;45234
;91075824200010;910758242;62.02A;;;60612
OPTIM CONSULTING;91075551100011;910755511;62.02A;;;92062
SASU AVEYRON DIGITAL;91074991000014;910749910;62.02A;;;12202
;91074429100014;910744291;62.02A;;;92046
FLYR LABS GLOBAL INCORPORATED;91074147900018;910741479;62.02A;;;
;91074035600019;910740356;62.02A;;;68377
;91073947300015;910739473;62.02A;;;14118
;91073801200012;910738012;62.02A;;;59350
MBKSOFT;91073669300011;910736693;62.02A;;;31555
;91073615600019;910736156;62.02A;;;91667
SOURCEMAP EUROPE;91073569500017;910735695;62.02A;;;75109
EVEEG;91073284100010;910732841;62.02A;;;91477
HAYER CONSULTING;91073275900014;910732759;62.02A;;;59350
;91072832800014;910728328;62.02A;;;60189
;91072681900014;910726819;62.02A;;;80021
;91072331100015;910723311;62.02A;;;68224
;91071528300016;910715283;62.02A;;;94081
;91071393200010;910713932;62.02A;;;75115
;91071257900010;910712579;62.02A;;;75106
;91071184500016;910711845;62.02A;;;75116
;91071130800015;910711308;62.02A;;;77182
;91071126600015;910711266;62.02A;;;94038
;91071025000010;910710250;62.02A;;;91589
;91071021900015;910710219;62.02A;;;91553
;91071015100010;910710151;62.02A;;;91593
;91071007800015;910710078;62.02A;;;75108
;91070857700010;910708577;62.02A;;;92004
;91070774400017;910707744;62.02A;;;59378
;91070761100018;910707611;62.02A;;;92075
CNOLF;91070033500011;910700335;62.02A;;;75120
MAKEMYBOARD;91069299500012;910692995;62.02A;;;75116
DIGITAL BLUE WAVE;91069114600013;910691146;62.02A;;;71445
ALMATH CONSULTING;91068988400013;910689884;62.02A;;;69296
KYT CONSULTING;91068894400016;910688944;62.02A;;;37122
DATAQIMA;91068869600012;910688696;62.02A;;;95063
ATRAMIS;91067974500018;910679745;62.02A;;;94080
CRYPTONUAGE.COM;91067727700014;910677277;62.02A;;;75108
;91041379800026;910413798;62.02A;;;75112
SC NUMERIQUE PRO;89894256000027;898942560;62.02A;;;38158
OUIMIND;89303894300021;893038943;62.02A;;;75102
ODONATES-GROUP;89302214500021;893022145;62.02A;;;49069
;88971923300021;889719233;62.02A;;;92019
BAM ENGINEERING;88003953200028;880039532;62.02A;;;78372
;87862728000034;878627280;62.02A;;;97103
NANO CORP;85259790500037;852597905;62.02A;;;75110
ACTZY;85241931600025;852419316;62.02A;;;92032
C.M.D CONSULTING;84935407100029;849354071;62.02A;;;49099
HACHITECH;84257609200030;842576092;62.02A;;;75111
DATA NOSTRA;84256567300022;842565673;62.02A;;;51454
;83977402300023;839774023;62.02A;;;38397
PLUP;83924241900027;839242419;62.02A;;;75101
DIRECT-IT;83826073500025;838260735;62.02A;;;72181
;83511255800027;835112558;62.02A;;;60670
OUEST DIGITAL;83026036000037;830260360;62.02A;;;44162
KEMKHET;83020360000036;830203600;62.02A;;;75112
CUBEWISE FRANCE;82866119900020;828661199;62.02A;;;75110
ALBIZIA CONSULTING;80987945500024;809879455;62.02A;;;92035
CONSERTO;79128948100214;791289481;62.02A;;;67482
;52944757500026;529447575;62.02A;;;60509
CONTENTMIND;49830780000041;498307800;62.02A;;;17300
;48810463900049;488104639;62.02A;;;67230
;45135828700048;451358287;62.02A;;;46103
NAVI;43800331100042;438003311;62.02A;;;74010
TOGETH'UP;43287232300048;432872323;62.02A;;;75103
CONSORT FRANCE;41882765500147;418827655;62.02A;;;59350
SOCIETE DE DEVELOPPEMENT ELECTRONIQUE ET INFORMATIQUE;35013962200046;350139622;62.02A;;;14068
DPII TELECOM ET SERVICES;33869838400082;338698384;62.02A;;;75102
OBCONSULTING;91064526600016;910645266;62.02A;;;13028
OPENLANCE;91064339400018;910643394;62.02A;;;92026
AKO CLOUD;91064112500018;910641125;62.02A;;;44143
AB AGENCY;91063785900018;910637859;62.02A;;;69387
VIS@ HELP;91062718100019;910627181;62.02A;;;69157
KARAVANE;91062027700012;910620277;62.02A;;;31555
LH CONSULTING;91061517800019;910615178;62.02A;;;30350
SPAN;91061278700010;910612787;62.02A;;;31462
FACTOVIA;91058792200014;910587922;62.02A;;;69381
SYKA TEAM SYNERGIE;91007984700018;910079847;62.02A;;;92004
IT FOUACHE;90998892500014;909988925;62.02A;;;59017
NEOCTIS;90949794300011;909497943;62.02A;;;59452
LOGICINIT;90944089300016;909440893;62.02A;;;75111
JD-IT SERVICES;90943206400014;909432064;62.02A;;;93049
IATEAM;90899773700014;908997737;62.02A;;;94022
;90888999100018;908889991;62.02A;;;69285
KELLY SCHROEYERS;90883982200016;908839822;62.02A;;;33012
